Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C13, C15, C19",0805,4,10uF,
"C14, C20",0805,2,1uF,
C16,0805,1,0.1uF,
C17,0805,1,100nF,
C18,0805,1,1µF,
"D15, D16",D_SMA_Handsoldering,2,SS54,
"H6, H7, H8_3, H8_2, H8, H9",MountingHole_4.3mm_M4,6,MountingHole,
"J11, J12",AMASS_XT60IPW-M_1x03_P7.20mm_Horizontal,2,Conn_01x02_Pin,
J13,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
"J14, J15",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
"J16, J21, J22",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,3,Conn_01x02_Pin,
J18,"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical",1,Conn_01x04_Socket,
Q7,TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL,1,L78M05ABDT-TR,C58069
"R27, R32, R34, R36, R41",0805,5,10k,
R28,0805,1,20k,
"R29, R30, R37, R38, R39",0805,5,0R,
"R31, R33, R35",0805,3,47k,
U15,SOT-223-3_TabPin2,1,AMS1117-3.3,
U16,MSOP-8_3x3mm_P0.65mm,1,MCP9808_MSOP,
U17,"Allegro_MicroSystems,_LLC-CB-5-PFF-0-0-MFG",1,ACS758LCB-100U-PFF-T,
U18,TO-263-2,1,SRT60L100DC-R,
