Designator,Mid X,Mid Y,Rotation,Layer
C1,272.039903,-59.242002,0.0,top
C10,292.237246,-94.8784,0.0,top
C11,292.237246,-84.7784,0.0,top
C2,255.301735,-67.916782,270.0,top
C3,269.199466,-64.12567,270.0,top
C4,265.665295,-84.894209,180.0,top
C5,265.665295,-89.294209,180.0,top
C6,265.665295,-87.194209,180.0,top
C7,236.428526,-106.398084,90.0,top
C8,232.211851,-106.386217,270.0,top
C9,234.211851,-106.398717,270.0,top
CR1,216.959843,-128.004195,0.0,top
D1,277.474905,-56.451939,270.0,top
D10,259.317198,-122.273373,0.0,top
D11,259.317198,-124.000573,0.0,top
D12,259.294398,-127.429573,0.0,top
D13,259.291798,-125.727773,0.0,top
D14,253.251584,-57.500255,0.0,top
D2,267.130956,-56.415642,270.0,top
D3,212.470927,-128.347145,90.0,top
D4,259.347798,-118.895173,0.0,top
D5,259.347798,-115.516973,0.0,top
D6,259.345198,-117.167973,0.0,top
D7,259.347798,-113.840573,0.0,top
D8,259.333798,-120.571573,0.0,top
D9,253.292934,-62.731447,0.0,top
J1,206.605451,-72.175095,90.0,top
J17,278.136228,-127.188772,0.0,top
J2,206.645927,-91.947145,90.0,top
J3,267.001905,-92.85938,270.0,top
J4,267.001905,-105.55938,270.0,top
J5,206.495927,-111.547145,90.0,top
J6,205.995927,-126.947145,90.0,top
J9,205.869967,-54.099963,270.0,top
JP12,245.87603,-132.049819,180.0,top
PM2,258.948316,-60.114408,180.0,top
Q1,219.120928,-79.347145,180.0,top
Q2,219.120928,-68.347145,180.0,top
Q3,219.120928,-57.347145,180.0,top
Q4,219.120928,-112.347145,180.0,top
Q5,219.120928,-101.347145,180.0,top
Q6,219.120928,-90.347145,180.0,top
R1,261.708023,-84.530808,0.0,top
R10,273.687378,-63.822352,270.0,top
R11,258.701372,-129.172872,270.0,top
R12,257.75597,-129.175951,90.0,top
R13,273.198463,-113.994641,180.0,top
R14,246.133834,-123.121331,90.0,top
R15,277.48377,-113.937256,0.0,top
R16,267.267167,-64.124407,90.0,top
R17,256.766485,-129.174392,270.0,top
R18,255.77648,-129.182971,270.0,top
R19,250.985588,-129.182702,270.0,top
R2,258.853562,-85.556163,270.0,top
R20,254.808419,-129.186477,270.0,top
R22,253.850352,-129.186477,270.0,top
R23,252.892284,-129.186477,270.0,top
R24,251.934216,-129.186477,270.0,top
R25,251.02787,-58.718808,270.0,top
R26,251.632675,-60.98129,90.0,top
R3,261.708023,-86.426523,180.0,top
R4,264.712193,-56.894473,270.0,top
R42,279.117873,-80.460784,90.0,top
R43,276.985108,-117.133685,90.0,top
R44,273.190585,-118.54735,180.0,top
R45,273.132318,-129.355464,180.0,top
R5,264.712193,-53.406973,90.0,top
R6,268.43729,-81.690708,90.0,top
R7,267.400696,-78.87736,0.0,top
R8,266.338734,-81.675278,90.0,top
R9,275.634042,-63.802653,270.0,top
S1,226.48791,-130.328583,90.0,top
TH1,264.712193,-60.506973,90.0,top
TH2,264.712193,-63.894473,270.0,top
U1,261.746395,-72.982708,0.0,top
U10,267.372749,-127.59735,0.0,top
U11,257.926207,-96.715325,270.0,top
U12,267.42437,-110.888349,180.0,top
U14,230.396385,-83.751742,90.0,top
U2,273.104222,-72.906333,0.0,top
U3,272.339903,-53.742002,180.0,top
U4,275.597078,-87.050365,270.0,top
U5,242.470926,-93.997144,0.0,top
U6,267.357749,-116.59735,0.0,top
U8,267.357749,-122.09735,0.0,top
U9,268.382095,-99.26417,270.0,top
VR1,276.491093,-110.260054,0.0,top
VR2,258.244746,-110.238811,180.0,top
